timestamp,cpu,ram
2025-01-03 12:57:01.426269,28.9,68.0
2025-01-03 12:57:03.429245,52.3,71.0
2025-01-03 12:57:05.432010,44.2,72.0
2025-01-03 12:57:07.438327,66.7,72.8
2025-01-03 12:57:09.440975,92.7,75.0
2025-01-03 12:57:11.444757,91.9,77.3
2025-01-03 12:57:13.447801,85.0,78.3
2025-01-03 12:57:15.450919,74.4,79.6
2025-01-03 12:57:17.454030,71.7,79.8
2025-01-03 12:57:19.457264,74.2,80.1
2025-01-03 12:57:21.459869,71.5,80.6
2025-01-03 12:57:23.462955,72.8,80.6
2025-01-03 12:57:25.466150,70.2,80.9
2025-01-03 12:57:27.470538,64.5,80.8
2025-01-03 12:57:29.473037,69.0,81.3
2025-01-03 12:57:31.476425,63.5,81.5
2025-01-03 12:57:33.478905,62.4,82.0
2025-01-03 12:57:35.482047,66.7,82.5
2025-01-03 12:57:37.487129,67.3,83.2
2025-01-03 12:57:39.490038,61.3,83.3
2025-01-03 12:57:41.492998,67.0,83.6
2025-01-03 12:57:43.495844,61.3,84.1
2025-01-03 12:57:45.499028,60.4,84.2
2025-01-03 12:57:47.501972,66.0,84.7
2025-01-03 12:57:49.504988,61.7,85.1
2025-01-03 12:57:51.507886,66.3,85.2
2025-01-03 12:57:53.510968,63.5,85.9
2025-01-03 12:57:55.513730,59.5,85.9
2025-01-03 12:57:57.515715,57.1,86.2
2025-01-03 12:57:59.518055,61.8,86.5
2025-01-03 12:58:01.520766,60.7,86.7
2025-01-03 12:58:03.529844,81.6,87.5
2025-01-03 12:58:05.532744,72.5,88.6
2025-01-03 12:58:07.535343,75.3,89.0
2025-01-03 12:58:09.537803,62.4,89.1
2025-01-03 12:58:11.542145,58.0,89.6
2025-01-03 12:58:13.544849,56.8,89.5
2025-01-03 12:58:15.547780,60.9,89.7
2025-01-03 12:58:17.549752,58.3,89.8
2025-01-03 12:58:19.553315,58.3,90.2
2025-01-03 12:58:21.556171,58.8,90.4
2025-01-03 12:58:23.558878,63.6,90.4
2025-01-03 12:58:25.562062,62.9,91.5
2025-01-03 12:58:27.565045,56.2,90.9
2025-01-03 12:58:29.568093,59.8,91.0
2025-01-03 12:58:31.570976,57.9,90.9
2025-01-03 12:58:33.573780,57.1,91.0
2025-01-03 12:58:35.575832,58.3,91.1
2025-01-03 12:58:37.578737,56.9,91.1
2025-01-03 12:58:39.581652,53.5,91.5
2025-01-03 12:58:41.583706,53.5,91.6
2025-01-03 12:58:43.585673,59.7,91.9
2025-01-03 12:58:45.588471,56.1,91.8
2025-01-03 12:58:47.591054,57.7,91.6
2025-01-03 12:58:49.594001,52.9,91.9
2025-01-03 12:58:51.596922,56.6,92.1
2025-01-03 12:58:53.599874,51.8,91.9
2025-01-03 12:58:55.603116,53.0,92.3
2025-01-03 12:58:57.606164,52.8,92.5
2025-01-03 12:58:59.609211,60.1,92.2
2025-01-03 12:59:01.611719,51.6,92.4
2025-01-03 12:59:03.613766,54.0,92.6
2025-01-03 12:59:05.615776,58.0,92.2
2025-01-03 12:59:07.617728,57.8,92.2
2025-01-03 12:59:09.619682,51.1,92.6
2025-01-03 12:59:11.622350,54.0,92.5
2025-01-03 12:59:13.624832,52.4,92.3
2025-01-03 12:59:15.627243,55.5,92.4
2025-01-03 12:59:17.629887,51.3,92.6
2025-01-03 12:59:19.632989,51.4,93.1
2025-01-03 12:59:21.635852,51.6,93.5
2025-01-03 12:59:23.639000,57.7,93.1
2025-01-03 12:59:25.641963,56.5,93.4
2025-01-03 12:59:27.644999,53.6,93.6
2025-01-03 12:59:29.647869,53.5,94.0
2025-01-03 12:59:31.650827,71.1,93.6
2025-01-03 12:59:33.653869,66.7,93.7
2025-01-03 12:59:35.656917,69.8,94.4
2025-01-03 12:59:37.662108,78.4,92.7
2025-01-03 12:59:39.664874,66.4,93.5
2025-01-03 12:59:41.667979,70.9,93.5
2025-01-03 12:59:43.671035,56.4,92.9
2025-01-03 12:59:45.673932,60.8,92.4
2025-01-03 12:59:47.676823,54.2,92.5
2025-01-03 12:59:49.680855,51.7,92.6
2025-01-03 12:59:51.685762,52.9,93.0
2025-01-03 12:59:53.689126,58.1,93.2
2025-01-03 12:59:55.692010,54.8,93.3
2025-01-03 12:59:57.695025,55.0,93.7
2025-01-03 12:59:59.698054,51.8,94.1
2025-01-03 13:00:01.704304,71.5,96.2
2025-01-03 13:00:03.710961,73.3,95.4
2025-01-03 13:00:05.713969,61.1,93.3
2025-01-03 13:00:07.717093,70.0,81.1
2025-01-03 13:00:09.720683,42.8,78.8
2025-01-03 13:00:11.722864,43.3,78.7
2025-01-03 13:00:13.726210,61.3,74.8
